code,question
7_QID21_6_TEXT,7_YD-6_6_TEXT - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Information on terrestrial animals - Other (please specify) - Text
7_QID22,7_YD-7 - Information on terrestrial animals - How well do Guana Estuary data on [Field-1] generally satisfy your need(s)?
8_QID17,8_YD-2 - How do you most frequently obtain or access Guana Estuary data on [Field-1]? - Other (please specify) - How do you most frequently obtain or access Guana Estuary data on [Field-1]? - Selected Choice
8_QID17_2_TEXT,"8_YD-2_2_TEXT - How do you most frequently obtain or access Guana Estuary data on [Field-1]? - Other (please specify) - Download from website (If so, what website?) - Text"
8_QID17_4_TEXT,8_YD-2_4_TEXT - How do you most frequently obtain or access Guana Estuary data on [Field-1]? - Other (please specify) - Other (please specify) - Text
8_QID18_1,8_YD-3_1 - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Other (please specify) - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Easy/convenient to access
8_QID18_2,8_YD-3_2 - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Other (please specify) - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Data is received quickly after request
8_QID18_3,8_YD-3_3 - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Other (please specify) - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Requesting the data is quick
8_QID18_4,8_YD-3_4 - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Other (please specify) - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - The format the data are delivered / accessed in is useful
8_QID18_6,8_YD-3_6 - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Other (please specify) - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - There are no advantages
8_QID18_5,8_YD-3_5 - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Other (please specify) - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Other (please specify)
8_QID18_5_TEXT,8_YD-3_5_TEXT - What are the advantages of this primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Other (please specify) - Other (please specify) - Text
8_QID19_1,8_YD-4_1 - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Other (please specify) - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Difficult/Complicated to access
8_QID19_2,8_YD-4_2 - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Other (please specify) - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Slow to receive
8_QID19_3,8_YD-4_3 - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Other (please specify) - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Time consuming to request
8_QID19_4,8_YD-4_4 - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Other (please specify) - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - The format the data are delivered / accessed in is not user-friendly
8_QID19_6,8_YD-4_6 - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Other (please specify) - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - There are no disadvantages
8_QID19_5,8_YD-4_5 - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Other (please specify) - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Selected Choice - Other (please specify)
8_QID19_5_TEXT,8_YD-4_5_TEXT - What are the disadvantages of the primary method of accessing or obtaining Guana Estuary data on [Field-1]? (check all that apply) - Other (please specify) - Other (please specify) - Text
8_QID20,8_YD-5 - Other (please specify) - How often do/did you access or obtain Guana Estuary data on [Field-1]?
8_QID21_1,8_YD-6_1 - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Other (please specify) - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Selected Choice - Research
8_QID21_2,8_YD-6_2 - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Other (please specify) - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Selected Choice - Educational purposes
8_QID21_3,8_YD-6_3 - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Other (please specify) - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Selected Choice - Work-related purposes (not research or education)
8_QID21_4,8_YD-6_4 - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Other (please specify) - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Selected Choice - Decision making (for recreational/educational/scientific visits)
8_QID21_5,8_YD-6_5 - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Other (please specify) - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Selected Choice - Monitoring
8_QID21_6,8_YD-6_6 - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Other (please specify) - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Selected Choice - Other (please specify)
8_QID21_6_TEXT,8_YD-6_6_TEXT - What do you typically use Guana Estuary data on [Field-1] for? (check all that apply) - Other (please specify) - Other (please specify) - Text
8_QID22,8_YD-7 - Other (please specify) - How well do Guana Estuary data on [Field-1] generally satisfy your need(s)?
